V1,V2,V3,V4,V5,V6,V7
1.56,0.02,1.3,9.68,3.75,10.68,4.03
8.25,2.12,5.73,1.71,1.6,3.92,1.19
1.01,0.9,1.87,0.27,0.01,1.94,9.87
1.28,1.59,4.75,9.1,4.09,0.89,0.9
4.62,0.84,0.07,1.31,1.54,0.53,1.66
0.8,0.64,1.46,0.68,1.09,1.66,1.96
2.89,0.63,1.29,5.25,0.35,2.71,8.35
6.84,0.94,12.08,3.99,0.58,1.36,3.82
7.78,0.62,0.42,2.15,1.51,1.65,2.36
8.93,2.82,1.69,2.89,4.28,11.57,1.81
1.51,1.08,0.62,0,0.2,8.44,4.29
3.6,3.37,3.09,1.98,2.2,0.73,0.51
0.21,1.28,1.05,0.08,0.28,0.99,5.73
1.65,3.04,0.46,3.13,6.02,1.51,1.97
2.57,8.18,1.31,1.23,1.94,0.38,3.13
0.74,0.76,2.04,5.43,14.29,0.75,3.98
1.8,2.42,6.75,7.19,4.21,5.17,8.7
1.99,1.92,0.34,6.31,2.24,1.06,0.27
3.6,3.81,1.05,3.26,4.61,0.67,2.16
5.52,1.57,4.57,4.38,2.16,0.82,4.63
1.94,0.46,0.05,0.04,0.14,0.71,2.71
3.55,1.9,4.03,0.58,0.12,2.33,9.91
1,0.77,0.12,0.01,0.46,0.22,0.93
0.32,0.12,0.05,0.06,0.12,0.08,0.79
0.02,2.12,1.05,0.41,2.96,3.36,0.48
0.24,2.03,1.55,1.03,1.12,1.34,0.29
0.46,1.37,2.92,1.86,1.95,1.23,1.4
1.74,1.86,1.44,2.69,8.72,2.3,0.51
1.31,0.51,7.65,7.88,2.38,1.65,1.81
4.53,3.23,1.85,2.99,1.99,2.29,1.71
4.79,1.72,1.47,4.09,4.16,1.53,1.69
1.91,4.89,2.16,2.42,0.6,1.72,4.29
2.52,1.44,1.24,0.55,0.75,1.98,2.41
2.57,1.5,0.97,5.34,2.51,0.86,1.04
5.2,2.46,1.01,0.88,4.35,1.02,0.76
2.1,2.42,1.85,2.82,0.51,1.76,2.95
0.84,0.99,1.74,2.07,1.79,1.78,0.67
1.9,5.65,8.97,1.27,0.97,1.34,1.46
1.25,3.19,2.13,1.01,0.35,0.54,1.17
0.43,1.15,0.44,0.57,0.25,2.54,3.54
0.5,0.46,2.91,5.09,3.8,3.59,3.33
1.6,1.62,0.58,0.78,0.86,0.54,1.76
3.05,3.33,5.4,0.86,0.65,1.65,0.75
0.96,0.23,0.33,0.38,0.96,1.75,0.65
1.32,6.62,1.89,0.31,4.1,5.76,1.75
0.39,0.81,4.64,0.43,0.19,0.01,0.16
0.05,0.54,0.39,0.16,0.48,0.71,0.49
0.38,3.38,0.4,1.22,6.88,8.21,3.29
1.01,1.52,0.46,2.81,3.22,1.34,0.31
0.14,1.28,1.95,1.34,2.98,7.11,4.36
0.82,0.45,2.29,9.41,3.16,2.89,3.49
1.04,0.68,0.08,0.19,0.14,0.45,0.01
0.08,0.07,1.71,2.9,3.51,4.95,1.2
0.87,1.61,6.89,2.46,0.13,0.12,2
6.95,1.45,5.1,1.82,3.19,0.12,5.98
5.77,0.91,0.28,1.45,0.24,2.73,3
1.32,0.27,0.17,1.32,5.04,0.6,0.36
1.87,2.41,4.91,1.41,4.6,7.82,0.46
0.74,3.75,6.5,2.85,1.91,2.77,10.68
2.48,7.08,4.76,4.21,5.81,24.24,11.95
0.3,0.53,6.71,4.99,13.59,2.97,1.19
6.01,5.21,0.73,1.07,2.8,4.58,2.17
0.86,0.15,0.25,0.6,1.46,1.2,1.47
4.83,4.48,0.06,0.57,1.03,1.02,1.63
0.79,1.21,2.54,0.06,0.98,2.64,2.31
0.75,0.2,0.49,3.39,0.24,1.92,1.81
0.6,0.84,3.12,1.26,1.87,0.19,0.76
0.69,1.45,0.61,0.99,2.22,4.83,9.41
1.57,0.2,0.39,1.07,0.86,0.7,2.3
3.98,15.51,6.88,2.71,0.08,0.19,0.03
0.79,3.78,10.1,3.62,5.84,1.91,1.64
16.88,2.36,2.37,5.95,10.33,4.23,7.7
3.76,3.76,1.19,0.86,0.18,0.02,0
0.21,2.12,0.89,0.01,0,0.01,0.2
1.16,0.93,1.81,0.89,0.18,0.13,0.08
0.02,0.04,2.02,8.81,5.96,0.84,0.1
0.27,1.74,4.32,16.16,7.31,0.1,0.54
0.22,0.05,2.5,2.15,0.17,2.03,2.27
1.51,0.9,0.69,0.65,4.18,13.01,2.85
0.2,0.01,0.03,5.83,12.8,2.16,2.35
0.47,7.95,3.88,2.64,1.2,1.23,1.97
0.5,2.09,2.19,2.03,5.98,1.88,1.2
2,1.53,0.41,0.51,1.65,2.6,5.25
0.84,3.26,3.52,0.66,0.29,2,0.8
3.77,0.75,1.15,7.4,6.24,10.3,1.75
0.43,1.21,0.06,8.07,3.1,2.34,1.28
0.65,0.83,3.97,2.01,0.83,0.89,0.98
1.03,3.6,1.34,0.13,0.59,0.94,0.39
0.22,0.68,0.68,0.76,1.35,1.82,1.13
1.33,0.87,2.82,1.81,0.23,2.43,3.95
4.77,3.58,4.01,4.53,2.07,1.05,0.66
0.85,1.42,0.44,1.37,0.63,0.66,1.71
2.16,1.37,1.98,1.23,0.69,0.46,1.34
2.11,3.12,3.03,0.75,1.15,1.85,1.85
1.79,4.08,0.67,0.91,6.33,5.06,2.41
3.25,1.73,0.45,1.26,0.53,0.18,0.4
0.29,0.42,0.62,1.23,1.36,2.06,3.25
1.95,0.61,0.87,0.61,0.67,0.3,0.07
0.07,0.07,0.21,0.16,0,0,0.05
0.17,0.1,0.05,0.69,0.18,0.07,2.62
5.54,0.85,0.44,0.09,1.38,1.76,0.09
0.04,0.01,0.07,0.94,0.8,0.49,0.77
4.49,2.42,5.23,2.68,2.25,0.5,0
0.95,4.75,4.35,1.79,0.58,4.07,4.06
0.3,0,0.18,0.69,1.12,0.58,1.22
1.85,0.06,0.52,3.35,1.01,0.05,4.15
3.66,1.55,0.58,2.17,3.65,0.35,2.52
1.21,3.02,1.72,1.38,0.39,0.88,3.57
5.32,1.55,1.16,6.27,1.69,0.67,4.22
2.29,3.81,4.92,0.62,1.64,3.16,0.43
0.79,0.13,0.21,0.68,2.84,6.76,0.53
0.66,2.09,3.21,19.9,3.27,0.12,2.16
1.82,0.87,3.55,3.54,2.78,7.57,6.78
2.94,0.49,0.53,3,3.98,3.68,1.27
2.91,2.86,5.85,0.74,2.9,4.69,1.83
0.46,0.71,0.15,0.24,2.63,2.1,0.82
2.13,4.46,2.96,2.46,0.92,0.45,1.42
1.41,1.75,1.41,5.78,3.39,0.58,1.31
2.48,2.08,2.35,1.85,1.81,0.51,1.36
1.81,0.22,0.72,5.79,5.02,0.57,5.83
10.67,2.16,0.61,1.81,0.97,6.71,8.13
5.95,0.8,1.96,5.13,2.04,4.63,7.96
2.48,1.68,8.25,1.15,0.73,0.37,1.48
2.18,7.41,1.38,6.95,2.06,0.55,2.43
4.09,0.38,1.98,8.83,3.09,0.84,0.94
0.99,4.53,7.98,1.74,0.91,1.6,3.03
0.5,0.57,4.1,3.87,6.89,6.99,0.94
1.39,0.6,0.14,0.23,2.88,0.57,0.19
0.12,0.08,1.1,8.33,8.13,4.55,1.33
0.76,0.96,0.67,0.07,0.01,0.22,0.1
0.07,0.03,0.24,5.54,1.44,1.26,7.08
3.35,1.54,0.36,0.26,5.21,2.89,8.13
2.86,9.5,2.92,0.5,1.29,0.56,2.56
2.93,2.67,11.08,2.82,1.31,9.03,2.75
2.73,3.07,2.93,5.22,4.27,3.05,2.91
2.17,2.48,2.35,1.13,1.09,0.89,1.05
2.26,3.51,4.09,5.19,4.38,2.39,1.27
1.63,2.17,0.46,0.8,0.33,0.78,2.01
0.81,0.28,0.08,0.61,5.2,1.36,3.85
2.64,0.75,0.45,0.69,1.06,1.39,1.02
0.78,2.63,0.38,2.96,3.13,3.74,1.3
4.94,3.17,7.1,9.23,1.31,1.17,3.4
2.23,0.79,1.62,0.99,5.32,0.56,0.11
0.37,1.48,5.14,1.55,2.03,0.77,1.85
1.33,7.05,6.18,0.6,1.72,0.35,6.08
2.25,1.34,0.99,1.05,0.11,0.71,0.21
1.72,6.84,0.43,0.31,2.43,1.21,3.3
0.65,1.1,1.28,0.86,7.83,6.51,1.22
1.88,0.61,0.42,1.19,3.28,0.98,2.38
7.9,1.31,1.34,0.14,0.06,1.08,1.13
0.59,0.39,0.33,0.24,3.78,0.79,0.06
0.7,0.99,1.07,7.04,3.12,5.06,1.73
2.19,0.64,4.94,2.17,0.47,0.46,0.21
0.01,0.02,0.2,0.06,0.15,5.48,1.27
0.22,0.02,0.6,0.71,0.23,1.92,3.95
1.42,2.13,14.83,3.95,0.29,2.84,1.62
2.22,1.79,2.07,5.06,0.44,0.69,1.26
4.41,8.29,2.03,3.18,0.81,0.42,0.91
2.31,4.86,5.08,4.24,6.71,1.83,3.41
0.96,1.46,5.56,1.68,3.01,3.25,2.34
9.83,1.34,0.7,1.14,3.34,2.06,2.29
2.77,3.69,1.19,1.4,4.88,4.46,0.65
0.64,1.24,0.93,0.43,1.27,0.88,0.85
2.16,0.32,0.22,1.49,1.09,3.38,6.85
3.64,0.72,0.41,9.93,1.13,2.74,4.45
8.23,4.13,5.52,1.88,1.04,1.92,2.95
0.65,0.39,0.68,1.3,1.8,1.08,10.48
0.67,2.58,1.29,3.33,8.25,1.06,0.06
1.14,2.05,2.6,2.91,0.8,1.62,0.14
1.44,5.43,1.94,1.99,4.39,3.36,1.99
